sku,slug,name,price,weight,height,width,depth,image_product,image_product_2,image_product_3,image_product_4,description,category,on_hand,backorderable,direct_cross_interchange,indirect_cross_interchange,application,gtin
1398873,,Bracket,,"0,702 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_22500/1_23200_K.jpg,,,,,Brand > SCANIA,,,1.23200,,"[{'models': 'CP, CR, CT', 'vehicle_brand': 'Scania 4-Series'}, {'models': 'CP, CR, CT', 'vehicle_brand': 'Scania 4-Series'}]",4047755050207
1479924,,Bracket,,"0,502 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_22500/1_22605_M.jpg,,,,,Brand > SCANIA,,,1.22605,,"[{'models': 'CP, CR, CT, Crew Cab', 'vehicle_brand': 'Scania 4-Series'}, {'models': 'CP, CR, CT, Crew Cab', 'vehicle_brand': 'Scania 4-Series'}]",4047755173777
1486855,,Bracket,,"0,734 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_15000/1_15099_M.jpg,,,,,Brand > SCANIA,,,1.15099,,"[{'models': 'PF 40, P 410', 'vehicle_brand': 'Scania Bus 3-Series'}, {'models': 'PF 40, P 410', 'vehicle_brand': 'Scania Bus 3-Series'}, {'models': 'PF 40, P 410', 'vehicle_brand': 'Scania Bus 3-Series'}, {'models': 'PF 40, P 410', 'vehicle_brand': 'Scania Bus 3-Series'}, {'models': 'PF 40, P 410', 'vehicle_brand': 'Scania Bus 3-Series'}]","4047755972271,4047755225148"
1541865,,,,,,,,,,,,,Brand > SCANIA,,,,,,
1753473,,"Bracket, air filter",,"3,697 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_10000/1_10869_L.jpg,,,,,Brand > SCANIA,,,1.10869,,"[{'models': '4-Series DC-DSC-DSI 9', 'vehicle_brand': 'Scania Bus 4-/F-/K-/N-Series'}, {'models': '4-Series DC-DSC-DSI 9', 'vehicle_brand': 'Scania Bus 4-/F-/K-/N-Series'}, {'models': '4-Series DC-DSC-DSI 9', 'vehicle_brand': 'Scania Bus 4-/F-/K-/N-Series'}]",4057795152175
1374500,,"Bracket, fan frame",,"0,145 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_11000/1_11313_K.jpg,,,,,Brand > SCANIA,,,1.11313,,"[{'models': 'DSC-DC 9, DSC-OSC-DC 11, DSC-DC-DT 12, DSC 14', 'vehicle_brand': 'Scania 4-Series'}, {'models': 'DSC-DC 9, DSC-OSC-DC 11, DSC-DC-DT 12, DSC 14', 'vehicle_brand': 'Scania 4-Series'}]","4047755011888,4047755011895"
1451585,,,,,,,,,,,,,Brand > SCANIA,,,,,,
1727263,,"Bracket, front grill, lower, left",,"2,550 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_22500/1_23170_M.jpg,,,,,Brand > SCANIA,,,1.23170,,"[{'models': 'CP, CR, CT', 'vehicle_brand': 'Scania P-/G-/R-/T-Series'}]","4057795798229,4057795798250"
1451586,,,,,,,,,,,,,Brand > SCANIA,,,,,,
1727264,,"Bracket, front grill, lower, right",,"2,550 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_22500/1_23171_M.jpg,,,,,Brand > SCANIA,,,1.23171,,"[{'models': 'CP, CR, CT', 'vehicle_brand': 'Scania P-/G-/R-/T-Series'}]","4057795798243,4057795798236"
1412052,,,,,,,,,,,,,Brand > SCANIA,,,,,,
1548318,,"Bracket, gear shift rod",,"1,162 kg",,,,https://partnerportal.dieseltechnic.com/dtwsassets/zoom/1/1_14000/1_14398_M.jpg,,,,,Brand > SCANIA,,,1.14398,,"[{'models': 'CP, CG, CR GR 801 /R, GRS 890 /R, GR-GRS-GRSO 900 /R, GRSO 920 /R', 'vehicle_brand': 'Scania P-/G-/R-/T-Series'}, {'models': 'CP, CG, CR GR 801 /R, GRS 890 /R, GR-GRS-GRSO 900 /R, GRSO 920 /R', 'vehicle_brand': 'Scania P-/G-/R-/T-Series'}]",4047755023089
